Takeshi Aiko	1990	27	Lotte	JPPL	Fgn	130	580	523	75	127	27	0	21	72	15	4	48	112	0.243	0.305	0.415	0.72	217	5	0	6	3	1
Takeshi Aiko	1991	28	Lotte	JPPL	Fgn	130	565	495	46	134	30	2	8	59	7	3	55	92	0.271	0.341	0.388	0.729	192	8	0	11	4	4
Takeshi Aiko	1992	29	ChibaLotte	JPPL	Fgn	130	534	464	42	127	26	2	8	53	4	5	42	83	0.274	0.339	0.39	0.729	181	8	7	15	6	1
Takeshi Aiko	1993	30	ChibaLotte	JPPL	Fgn	125	456	398	42	100	27	2	8	33	3	2	41	58	0.251	0.321	0.389	0.71	155	9	2	10	5	3
Takeshi Aiko	1994	31	ChibaLotte	JPPL	Fgn	111	363	327	41	95	20	2	5	41	1	2	31	49	0.291	0.356	0.41	0.765	134	1	2	3	0	0
Takeshi Aiko	1995	32	ChibaLotte	JPPL	Fgn	46	121	105	6	19	4	0	2	7	1	0	12	27	0.181	0.271	0.276	0.547	29	4	1	3	0	3
Takeshi Aiko	1996	33	Chunichi	JPCL	Fgn	56	91	82	7	17	3	0	4	17	0	0	5	22	0.207	0.253	0.39	0.643	32	3	1	0	3	0
Takeshi Aiko	1997	34	Chunichi	JPCL	Fgn	93	121	99	8	28	5	1	2	20	0	0	16	18	0.283	0.37	0.414	0.784	41	3	0	2	4	0
Takeshi Aiko	1998	35	Chunichi	JPCL	Fgn	78	78	62	9	14	2	0	2	13	0	0	13	13	0.226	0.364	0.355	0.718	22	1	1	1	1	1
Takeshi Aiko	1999	36	Chunichi	JPCL	Fgn	38	34	31	3	12	1	0	0	3	0	0	3	6	0.387	0.441	0.419	0.861	13	0	0	0	0	0
Takeshi Aiko	2000	37	Chunichi	JPCL	Fgn	14	13	12	1	3	1	0	1	2	0	0	1	2	0.25	0.308	0.583	0.891	7	2	0	0	0	0
Hisashi Aikyo	2001	24	Kintetsu	JPPL	Fgn	30	0	0	0	0	0	0	0	0	0	0	0	0	\N	\N	\N	\N	0	0	0	0	0	0
Hisashi Aikyo	2002	25	Kintetsu	JPPL	Fgn	18	0	0	0	0	0	0	0	0	0	0	0	0	\N	\N	\N	\N	0	0	0	0	0	0
Hisashi Aikyo	2003	26	Kintetsu	JPPL	Fgn	38	0	0	0	0	0	0	0	0	0	0	0	0	\N	\N	\N	\N	0	0	0	0	0	0
Hisashi Aikyo	2004	27	Kintetsu	JPPL	Fgn	1	0	0	0	0	0	0	0	0	0	0	0	0	\N	\N	\N	\N	0	0	0	0	0	0
Hisashi Aikyo	2005	28	Rakuten	JPPL	Fgn	16	0	0	0	0	0	0	0	0	0	0	0	0	\N	\N	\N	\N	0	0	0	0	0	0
Hisashi Aikyo	2006	29	Rakuten	JPPL	Fgn	16	5	5	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
Kazunori Aimoto	1973	24	Nitaku	JPPL	Fgn	26	47	41	4	9	1	0	2	5	0	1	6	10	0.22	0.319	0.39	0.709	16	0	0	0	0	1
Kazunori Aimoto	1974	25	NipponHam	JPPL	Fgn	11	26	25	2	7	0	0	0	1	0	0	0	2	0.28	0.28	0.28	0.56	7	0	0	1	0	0
Kazunori Aimoto	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N
Kazunori Aimoto	1976	27	NipponHam	JPPL	Fgn	9	9	8	0	1	0	0	0	0	0	0	0	1	0.125	0.125	0.125	0.25	1	0	0	1	0	0
Kuniaki Aizawa	1958	18	Toei	JPPL	Fgn	1	0	0	0	0	0	0	0	0	0	0	0	0	\N	\N	\N	\N	0	0	0	0	0	0
Susumu Aizawa	1953	23	Mainichi	JPPL	Fgn	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	\N	\N
Susumu Aizawa	1954	24	Takahashi	JPPL	Fgn	76	27	27	17	5	3	0	0	3	6	2	0	3	0.185	0.185	0.296	0.481	8	0	0	0	0	\N
Susumu Aizawa	1955	25	Tombo	JPPL	Fgn	60	43	36	4	8	2	0	0	1	2	1	1	8	0.222	0.243	0.278	0.521	10	0	0	6	0	0
Susumu Aizawa	1956	26	Takahashi	JPPL	Fgn	24	9	9	0	1	0	0	0	0	0	0	0	3	0.111	0.111	0.111	0.222	1	1	0	0	0	0
Toshiaki Aizawa	2010	22	Hiroshima	JPCL	Fgn	3	0	0	0	0	0	0	0	0	0	0	0	0	\N	\N	\N	\N	0	0	0	0	0	0
Toshiaki Aizawa	2011	23	Hiroshima	JPCL	Fgn	2	0	0	0	0	0	0	0	0	0	0	0	0	\N	\N	\N	\N	0	0	0	0	0	0
Tsubasa Aizawa	2009	21	Hiroshima	JPCL	Fgn	15	31	28	3	6	1	0	0	1	0	0	3	8	0.214	0.29	0.25	0.54	7	1	0	0	0	1
Tsubasa Aizawa	2010	22	Hiroshima	JPCL	Fgn	32	56	53	4	9	1	0	1	5	0	0	2	16	0.17	0.2	0.245	0.445	13	3	0	1	0	0
Tsubasa Aizawa	2011	23	Hiroshima	JPCL	Fgn	19	29	28	0	5	1	0	0	1	0	0	0	9	0.179	0.207	0.214	0.421	6	3	1	0	0	0
Tsubasa Aizawa	2012	24	Hiroshima	JPCL	Fgn	28	70	66	4	13	3	0	0	2	0	1	2	7	0.197	0.243	0.242	0.485	16	2	2	0	0	0
Tsubasa Aizawa	2013	25	Hiroshima	JPCL	Fgn	31	68	64	6	12	1	0	3	6	0	0	4	18	0.188	0.235	0.344	0.579	22	1	0	0	0	0
Ryuichiro Akada	2013	25	Chunichi	JPCL	Fgn	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Shogo Akada	1999	18	Seibu	JPPL	Fgn	13	50	49	7	14	2	0	0	5	5	1	0	9	0.286	0.3	0.327	0.627	16	1	1	0	0	0
Shogo Akada	2000	19	Seibu	JPPL	Fgn	31	79	65	10	10	0	1	1	3	2	0	13	26	0.154	0.304	0.231	0.535	15	2	1	0	0	0
Shogo Akada	2001	20	Seibu	JPPL	Fgn	17	35	32	2	6	1	0	0	2	0	0	2	5	0.188	0.229	0.219	0.447	7	1	0	0	1	0
Shogo Akada	2002	21	Seibu	JPPL	Fgn	37	62	57	4	9	1	0	1	2	3	1	1	17	0.158	0.172	0.228	0.4	13	2	0	4	0	0
Shogo Akada	2003	22	Seibu	JPPL	Fgn	46	94	88	24	22	7	3	1	13	4	1	5	19	0.25	0.29	0.432	0.722	38	0	0	1	0	0
Shogo Akada	2004	23	Seibu	JPPL	Fgn	122	436	374	68	97	18	2	9	41	16	5	42	87	0.259	0.335	0.39	0.725	146	3	2	15	3	1
Shogo Akada	2005	24	Seibu	JPPL	Fgn	131	478	427	56	116	19	3	3	24	20	6	30	93	0.272	0.322	0.351	0.673	150	8	2	18	1	0
Shogo Akada	2006	25	Seibu	JPPL	Fgn	124	518	451	50	132	16	7	2	34	16	9	36	79	0.293	0.345	0.373	0.717	168	3	2	25	4	1
Shogo Akada	2007	26	Seibu	JPPL	Fgn	20	44	37	6	6	1	0	0	2	1	0	5	8	0.162	0.279	0.189	0.468	7	0	1	1	0	0
Shogo Akada	2008	27	Seibu	JPPL	Fgn	68	180	160	29	39	7	1	2	13	2	1	14	37	0.244	0.305	0.338	0.643	54	4	1	3	2	0
Shogo Akada	2009	28	Seibu	JPPL	Fgn	57	88	78	14	16	4	0	0	3	1	1	6	19	0.205	0.259	0.256	0.515	20	1	0	3	1	0
Shogo Akada	2010	29	Orix	JPPL	Fgn	79	290	253	42	55	8	1	8	34	3	1	22	66	0.217	0.279	0.352	0.631	89	5	0	14	1	0
Shogo Akada	2011	30	Orix	JPPL	Fgn	77	246	226	17	69	8	1	0	17	0	3	18	52	0.305	0.357	0.35	0.706	79	3	0	2	0	0
Shogo Akada	2012	31	Orix	JPPL	Fgn	26	76	72	8	10	1	2	1	5	1	0	4	22	0.139	0.184	0.25	0.434	18	0	0	0	0	0
Shogo Akada	2013	32	NipponHam	JPPL	Fgn	57	160	143	16	39	6	0	2	12	1	2	15	36	0.273	0.34	0.357	0.696	51	1	0	1	1	0
Katsuki Akagawa	2009	18	Yakult	JPCL	Fgn	1	0	0	0	0	0	0	0	0	0	0	0	0	\N	\N	\N	\N	0	0	0	0	0	0
Katsuki Akagawa	2010	19	Yakult	JPCL	Fgn	1	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Katsuki Akagawa	2011	20	Yakult	JPCL	Fgn	23	26	22	0	1	0	0	0	2	0	0	1	12	0.045	0.087	0.045	0.132	1	0	0	3	0	0
Katsuki Akagawa	2012	21	Yakult	JPCL	Fgn	28	49	46	1	4	1	0	0	2	0	0	1	24	0.087	0.106	0.109	0.215	5	1	0	2	0	0
Katsuki Akagawa	2013	22	Yakult	JPCL	Fgn	9	14	13	0	2	0	0	0	0	0	0	0	4	0.154	0.154	0.154	0.308	2	0	0	1	0	0
Kenichi Akagi	1959	22	Kokutetsu	JPCL	Fgn	54	113	105	13	22	3	0	0	8	0	1	6	28	0.21	0.25	0.238	0.488	25	0	0	1	1	0
Kenichi Akagi	1960	23	Kokutetsu	JPCL	Fgn	61	91	87	4	15	3	0	1	5	1	1	3	19	0.172	0.209	0.241	0.45	21	2	1	0	0	0
Kenichi Akagi	1961	24	Kokutetsu	JPCL	Fgn	58	86	78	5	21	5	1	2	7	0	0	7	21	0.269	0.337	0.436	0.773	34	2	1	0	0	1
Kenichi Akagi	1962	25	Kokutetsu	JPCL	Fgn	32	31	31	2	4	0	0	0	0	2	0	0	9	0.129	0.129	0.129	0.258	4	1	0	0	0	0
Kenichi Akagi	1963	26	Kokutetsu	JPCL	Fgn	23	23	23	0	2	0	0	0	0	1	0	0	9	0.087	0.087	0.087	0.174	2	0	0	0	0	0
Daichi Akahori	2013	26	Yokohama	JPCL	Fgn	5	8	7	0	1	1	0	0	1	0	0	0	2	0.143	0.125	0.286	0.411	2	0	0	0	1	0
Motoyuki Akahori	1989	19	Kintetsu	JPPL	Fgn	13	0	0	0	0	0	0	0	0	0	0	0	0	\N	\N	\N	\N	0	0	0	0	0	0
Motoyuki Akahori	1990	20	Kintetsu	JPPL	Fgn	22	0	0	0	0	0	0	0	0	0	0	0	0	\N	\N	\N	\N	0	0	0	0	0	0
Motoyuki Akahori	1991	21	Kintetsu	JPPL	Fgn	26	0	0	0	0	0	0	0	0	0	0	0	0	\N	\N	\N	\N	0	0	0	0	0	0
Motoyuki Akahori	1992	22	Kintetsu	JPPL	Fgn	51	0	0	0	0	0	0	0	0	0	0	0	0	\N	\N	\N	\N	0	0	0	0	0	0
Motoyuki Akahori	1993	23	Kintetsu	JPPL	Fgn	46	0	0	0	0	0	0	0	0	0	0	0	0	\N	\N	\N	\N	0	0	0	0	0	0
Motoyuki Akahori	1994	24	Kintetsu	JPPL	Fgn	45	0	0	0	0	0	0	0	0	0	0	0	0	\N	\N	\N	\N	0	0	0	0	0	0
